"STA_SEQ","Date","Obs"
15244,"8/1/2017",2
15244,"8/10/2017",3
15244,"8/11/2017",3
15244,"8/12/2017",4
15244,"8/13/2017",3
15244,"8/14/2017",3
15244,"8/2/2017",2
15244,"8/3/2017",4
15244,"8/4/2017",4
15244,"8/5/2017",4
15244,"8/6/2017",3
15244,"8/7/2017",3
15244,"8/8/2017",3
15244,"8/9/2017",3
16046,"8/1/2017",2
16046,"8/10/2017",2
16046,"8/11/2017",2
16046,"8/12/2017",3
16046,"8/13/2017",3
16046,"8/14/2017",2
16046,"8/2/2017",2
16046,"8/3/2017",3
16046,"8/4/2017",2
16046,"8/5/2017",4
16046,"8/6/2017",4
16046,"8/8/2017",4
16046,"8/9/2017",3
19657,"8/1/2017",4
19657,"8/10/2017",4
19657,"8/11/2017",4
19657,"8/12/2017",4
19657,"8/13/2017",4
19657,"8/14/2017",4
19657,"8/2/2017",4
19657,"8/3/2017",4
19657,"8/4/2017",4
19657,"8/5/2017",4
19657,"8/6/2017",4
19657,"8/7/2017",4
19657,"8/8/2017",4
19657,"8/9/2017",4
